freq,station,start,end,days,language,pwr,az,transmitter_site,latitude,longitude
9585,FOLLOW THE BIBLE MINISTRIES,18:30:00,18:58:00,1......,Arabic,300,170,"G\
WooffertonLatitude: 52°16'N\
Longitude: 002°49'W\
Bearing: 24°\
Distance: 9133km", 52°16'N, 002°49'W
9620,ALL INDIA RADIO,17:30:00,19:30:00,1234567,Arabic,500,300,"IND\
BengaluruLatitude: 13°13'N\
Longitude: 077°13'E\
Bearing: 88°\
Distance: 13922km", 13°13'N, 077°13'E
9645,VO ISLAMIC REP.IRAN,03:20:00,04:19:00,1234567,Arabic,500,216,"IRN\
SirjanLatitude: 29°35'N\
Longitude: 055°47'E\
Bearing: 64°\
Distance: 12207km", 29°35'N, 055°47'E
9650,R.SAUDI,09:00:00,15:00:00,1234567,Arabic,100,ND,"ARS\
RiyadhLatitude: 24°49'N\
Longitude: 046°52'E\
Bearing: 67°\
Distance: 11214km", 24°49'N, 046°52'E
9650,R.SAUDI,15:00:00,17:00:00,1234567,Arabic,100,ND,"ARS\
RiyadhLatitude: 24°49'N\
Longitude: 046°52'E\
Bearing: 67°\
Distance: 11214km", 24°49'N, 046°52'E
9650,R.SAUDI,17:00:00,21:00:00,1234567,Arabic,100,ND,"ARS\
RiyadhLatitude: 24°49'N\
Longitude: 046°52'E\
Bearing: 67°\
Distance: 11214km", 24°49'N, 046°52'E
9725,VO ISLAMIC REP.IRAN,03:30:00,06:00:00,1234567,Arabic,500,256,"IRN\
SirjanLatitude: 29°35'N\
Longitude: 055°47'E\
Bearing: 64°\
Distance: 12207km", 29°35'N, 055°47'E
9750,R.KUWAIT,11:00:00,16:00:00,1234567,Arabic,250,286,"KWT\
SulaibiyahLatitude: 29°08'N\
Longitude: 047°46'E\
Bearing: 63°\
Distance: 11444km", 29°08'N, 047°46'E
9790,R.SAUDI,15:00:00,17:00:00,1234567,Arabic,100,ND,"ARS\
RiyadhLatitude: 24°49'N\
Longitude: 046°52'E\
Bearing: 67°\
Distance: 11214km", 24°49'N, 046°52'E
9790,R.SAUDI,17:00:00,17:55:00,1234567,Arabic,100,ND,"ARS\
RiyadhLatitude: 24°49'N\
Longitude: 046°52'E\
Bearing: 67°\
Distance: 11214km", 24°49'N, 046°52'E
9890,Voice of Korea,15:00:00,15:57:00,1234567,Arabic,200,296,"KRE\
KujangLatitude: 40°04'N\
Longitude: 126°06'E\
Bearing: 18°\
Distance: 17744km", 40°04'N, 126°06'E
9890,Voice of Korea,17:00:00,17:57:00,1234567,Arabic,200,296,"KRE\
KujangLatitude: 40°04'N\
Longitude: 126°06'E\
Bearing: 18°\
Distance: 17744km", 40°04'N, 126°06'E
9900,R.CAIRO,23:30:00,00:45:00,1234567,Arabic,125,252,"EGY\
AbisLatitude: 31°07'N\
Longitude: 030°04'E\
Bearing: 56°\
Distance: 9933km", 31°07'N, 030°04'E
11600,BIBLE VOICE BCN RADIO DARDASHA7,15:45:00,16:00:00,1234567,Arabic,100,306,"BUL\
Kostinbrod(sofia)Latitude: 42°48'N\
Longitude: 023°11'E\
Bearing: 43°\
Distance: 9981km", 42°48'N, 023°11'E
11610,WORLD CHRISTIAN BROADC. R.FEDA,22:00:00,22:58:00,1234567,Arabic,100,325,"MDG\
MahajangaLatitude: 15°43'S\
Longitude: 046°26'E\
Bearing: 105°\
Distance: 9611km", 15°43'S, 046°26'E
11630,R.KUWAIT,13:00:00,16:00:00,1234567,Arabic,250,230,"KWT\
SulaibiyahLatitude: 29°08'N\
Longitude: 047°46'E\
Bearing: 63°\
Distance: 11444km", 29°08'N, 047°46'E
11640,CHINA RADIO INTERNATIONAL,18:30:00,19:30:00,1234567,Arabic,100,85,"MLI\
Bamako IILatitude: 12°41'N\
Longitude: 008°01'W\
Bearing: 51°\
Distance: 5560km", 12°41'N, 008°01'W
11645,Voice of Korea,15:00:00,15:57:00,1234567,Arabic,200,296,"KRE\
KujangLatitude: 40°04'N\
Longitude: 126°06'E\
Bearing: 18°\
Distance: 17744km", 40°04'N, 126°06'E
11645,Voice of Korea,17:00:00,17:57:00,1234567,Arabic,200,296,"KRE\
KujangLatitude: 40°04'N\
Longitude: 126°06'E\
Bearing: 18°\
Distance: 17744km", 40°04'N, 126°06'E
11660,R.ROMANIA INT.,07:30:00,07:57:00,1234567,Arabic,300,247,"ROU\
Galbeni-bacauLatitude: 46°44'N\
Longitude: 026°50'E\
Bearing: 40°\
Distance: 10441km", 46°44'N, 026°50'E
11745,Al-Azm Radio,00:00:00,00:00:00,1234567,Arabic,250,300,"ARS\
JeddahLatitude: 21°23'N\
Longitude: 039°25'E\
Bearing: 68°\
Distance: 10369km", 21°23'N, 039°25'E
11770,VOICE OF NIGERIA,15:30:00,16:00:00,1234567,Arabic,250,248,"NIG\
Abuja LugbeLatitude: 08°57'N\
Longitude: 007°20'E\
Bearing: 65°\
Distance: 6681km", 08°57'N, 007°20'E
11770,VOICE OF NIGERIA,16:00:00,16:15:00,1234567,Arabic,250,248,"NIG\
Abuja LugbeLatitude: 08°57'N\
Longitude: 007°20'E\
Bearing: 65°\
Distance: 6681km", 08°57'N, 007°20'E
11820,VO ISLAMIC REP.IRAN,08:30:00,10:30:00,1234567,Arabic,500,210,"IRN\
SirjanLatitude: 29°35'N\
Longitude: 055°47'E\
Bearing: 64°\
Distance: 12207km", 29°35'N, 055°47'E
11820,R.SAUDI,17:55:00,22:57:00,1234567,Arabic,500,320,"ARS\
RiyadhLatitude: 24°49'N\
Longitude: 046°52'E\
Bearing: 67°\
Distance: 11214km", 24°49'N, 046°52'E
11830,AGRICULTURAL VOICES SYRIA,03:00:00,03:30:00,.23456.,Arabic,250,310,"UAE\
Al-DhabbiyaLatitude: 24°10'N\
Longitude: 054°14'E\
Bearing: 70°\
Distance: 11908km", 24°10'N, 054°14'E
