freq,station,start,end,days,language,pwr,az,transmitter_site
6110,R.Fana,05:30,08:00,1.....7,Amharic,100,ND,"ETH
Addis Ababa AreaLatitude: 08°58'N
Longitude: 038°43'E
Bearing: 79°
Distance: 9794km"
6110,R.Fana,09:00,10:00,.23456.,Amharic,100,ND,"ETH
Addis Ababa AreaLatitude: 08°58'N
Longitude: 038°43'E
Bearing: 79°
Distance: 9794km"
6110,R.Fana,15:00,17:00,1234567,Amharic,100,ND,"ETH
Addis Ababa AreaLatitude: 08°58'N
Longitude: 038°43'E
Bearing: 79°
Distance: 9794km"
6110,R.Fana,17:00,21:00,1.....7,Amharic,100,ND,"ETH
Addis Ababa AreaLatitude: 08°58'N
Longitude: 038°43'E
Bearing: 79°
Distance: 9794km"
7110,Radio Ethiopia,15:00,18:00,1234567,Amharic,,,"ETH
Addis Ababa AreaLatitude: 08°58'N
Longitude: 038°43'E
Bearing: 79°
Distance: 9794km"
9485,VOICE OF AMERICA,18:00,19:00,1234567,Amharic,300,126,"G
WooffertonLatitude: 52°16'N
Longitude: 002°49'W
Bearing: 24°
Distance: 9133km"
9500,TWR Africa,16:30,16:45,.2.....,Amharic,100,13,"SWZ
ManziniLatitude: 26°20'S
Longitude: 031°35'E
Bearing: 111°
Distance: 7786km"
9500,TWR Africa,17:00,17:30,1234567,Amharic,100,13,"SWZ
ManziniLatitude: 26°20'S
Longitude: 031°35'E
Bearing: 111°
Distance: 7786km"
9540,IBRA MEDIA/Radio Ibrahim,16:15,17:00,1234567,Amharic,250,225,"UAE
Al-DhabbiyaLatitude: 24°10'N
Longitude: 054°14'E
Bearing: 70°
Distance: 11908km"
9655,TWR Africa,03:30,03:45,12.....,Amharic,250,225,"UAE
Al-DhabbiyaLatitude: 24°10'N
Longitude: 054°14'E
Bearing: 70°
Distance: 11908km"
9705,BBC,18:30,18:50,.23456.,Amharic,250,130,"CVA
Santa Maria Di GaleriaLatitude: 42°02'N
Longitude: 012°19'E
Bearing: 39°
Distance: 9188km"
11830,BBC,17:30,17:49,.23456.,Amharic,250,115,"CVA
Santa Maria Di GaleriaLatitude: 42°02'N
Longitude: 012°19'E
Bearing: 39°
Distance: 9188km"
11895,BBC,17:30,17:49,.23456.,Amharic,250,240,"OMA
Al SeelaLatitude: 21°55'N
Longitude: 059°37'E
Bearing: 73°
Distance: 12373km"
11895,BBC,18:30,18:50,.23456.,Amharic,250,240,"OMA
Al SeelaLatitude: 21°55'N
Longitude: 059°37'E
Bearing: 73°
Distance: 12373km"
12040,ADVENTIST WORLD R.,16:30,17:00,1234567,Amharic,250,140,"D
NauenLatitude: 52°38'N
Longitude: 012°54'E
Bearing: 31°
Distance: 9934km"
12040,VOICE OF AMERICA,17:00,17:30,1234567,Amharic,100,76,"STP
PinheiraLatitude: 00°17'N
Longitude: 006°45'E
Bearing: 74°
Distance: 6167km"
12040,VOICE OF AMERICA,18:00,19:00,1234567,Amharic,1,ND,Lampertheim
13765,VOICE OF AMERICA,18:00,19:00,1234567,Amharic,250,185,"KWT
KuwaitLatitude: 29°30'N
Longitude: 047°40'E
Bearing: 63°
Distance: 11447km"
13830,VATICAN RADIO,15:30,16:00,1234567,Amharic,250,115,"CVA
Santa Maria Di GaleriaLatitude: 42°02'N
Longitude: 012°19'E
Bearing: 39°
Distance: 9188km"
15275,DEUTSCHE WELLE,16:00,17:00,1234567,Amharic,500,130,"F
IssoudunLatitude: 46°57'N
Longitude: 001°53'E
Bearing: 30°
Distance: 8923km"
15310,ADVENTIST WORLD R.,04:00,04:30,1234567,Amharic,125,270,"CLN
TrincomaleeLatitude: 08°44'N
Longitude: 081°07'E
Bearing: 95°
Distance: 14174km"
15310,BIBLE VOICE BCN,16:30,17:30,..3....,Amharic,100,142,"D
NauenLatitude: 52°38'N
Longitude: 012°54'E
Bearing: 31°
Distance: 9934km"
15310,BIBLE VOICE BCN,17:00,17:30,...45..,Amharic,100,142,"D
NauenLatitude: 52°38'N
Longitude: 012°54'E
Bearing: 31°
Distance: 9934km"
15565,VATICAN RADIO,15:30,16:00,1234567,Amharic,250,135,"CVA
Santa Maria Di GaleriaLatitude: 42°02'N
Longitude: 012°19'E
Bearing: 39°
Distance: 9188km"
15580,VOICE OF AMERICA,17:00,17:30,1234567,Amharic,100,10,"BOT
Selebi-phikweLatitude: 21°57'S
Longitude: 027°38'E
Bearing: 105°
Distance: 7517km"
15595,VATICAN RADIO,09:30,10:50,1......,Amharic,250,121,"CVA
Santa Maria Di GaleriaLatitude: 42°02'N
Longitude: 012°19'E
Bearing: 39°
Distance: 9188km"
15685,BBC,17:30,17:49,.23456.,Amharic,250,230,"UAE
Al-DhabbiyaLatitude: 24°10'N
Longitude: 054°14'E
Bearing: 70°
Distance: 11908km"
17790,VATICAN RADIO,09:30,10:50,1......,Amharic,250,139,"CVA
Santa Maria Di GaleriaLatitude: 42°02'N
Longitude: 012°19'E
Bearing: 39°
Distance: 9188km"
17800,DEUTSCHE WELLE,16:00,17:00,1234567,Amharic,500,130,"F
IssoudunLatitude: 46°57'N
Longitude: 001°53'E
Bearing: 30°
Distance: 8923km"
6140,R.TAIWAN INT.,12:00,13:00,1234567,Amoy,100,267,"TWN
KouhuLatitude: 23°32'N
Longitude: 120°10'E
Bearing: 75°
Distance: 18537km"
6165,CNR 6,22:00,01:00,1234567,Amoy,100,163,"CHN
BeijingLatitude: 39°53'N
Longitude: 116°34'E
Bearing: 34°
Distance: 17317km"
9400,R.TAIWAN INT.,09:00,10:00,1234567,Amoy,100,205,"TWN
PaochungLatitude: 23°43'N
Longitude: 120°18'E
Bearing: 74°
Distance: 18546km"
9460,CHINA RADIO INTERNATIONAL,01:00,01:57,1234567,Amoy,150,163,"CHN
Kunming-anningLatitude: 24°52'N
Longitude: 102°29'E
Bearing: 76°
Distance: 16738km"
9550,CHINA RADIO INTERNATIONAL,01:00,01:57,1234567,Amoy,150,191,"CHN
Kunming-anningLatitude: 24°52'N
Longitude: 102°29'E
Bearing: 76°
Distance: 16738km"
9610,CHINA RADIO INTERNATIONAL,01:00,02:00,1234567,Amoy,100,225,"CHN
Kunming-anningLatitude: 24°52'N
Longitude: 102°29'E
Bearing: 76°
Distance: 16738km"
9610,KSDA-ADVENTIST WORLD R.GUAM,12:00,12:30,12345..,Amoy,100,315,"GUM
AgatLatitude: 13°20'N
Longitude: 144°39'E
Bearing: 234°
Distance: 18628km"
9655,CHINA RADIO INTERNATIONAL,14:00,14:57,1234567,Amoy,100,225,"CHN
Kunming-anningLatitude: 24°52'N
Longitude: 102°29'E
Bearing: 76°
Distance: 16738km"
9730,CNR 6,22:00,01:00,1234567,Amoy,100,163,"CHN
BeijingLatitude: 39°53'N
Longitude: 116°34'E
Bearing: 34°
Distance: 17317km"
9860,CHINA RADIO INTERNATIONAL,01:00,01:57,1234567,Amoy,500,161,"CHN
JinhuaLatitude: 29°06'N
Longitude: 119°18'E
Bearing: 55°
Distance: 18255km"
11620,ADVENTIST WORLD R.,12:00,12:30,12345..,Amoy,100,60,"TJK
Dushanbe-orzuLatitude: 37°32'N
Longitude: 068°47'E
Bearing: 57°
Distance: 13528km"
11650,CHINA RADIO INTERNATIONAL,14:00,14:57,1234567,Amoy,150,177,"CHN
Kunming-anningLatitude: 24°52'N
Longitude: 102°29'E
Bearing: 76°
Distance: 16738km"
11830,ADVENTIST WORLD R.,01:00,01:30,12345..,Amoy,125,60,"CLN
TrincomaleeLatitude: 08°44'N
Longitude: 081°07'E
Bearing: 95°
Distance: 14174km"
11905,CNR 6,01:00,05:00,1234567,Amoy,100,163,"CHN
BeijingLatitude: 39°53'N
Longitude: 116°34'E
Bearing: 34°
Distance: 17317km"
11910,CHINA RADIO INTERNATIONAL,12:00,13:00,1234567,Amoy,500,165,"CHN
BeijingLatitude: 39°44'N
Longitude: 116°48'E
Bearing: 34°
Distance: 17342km"
11945,CHINA RADIO INTERNATIONAL,01:00,01:57,1234567,Amoy,150,177,"CHN
Kunming-anningLatitude: 24°52'N
Longitude: 102°29'E
Bearing: 76°
Distance: 16738km"
11980,CHINA RADIO INTERNATIONAL,01:00,01:57,1234567,Amoy,100,184,"CHN
Kunming-anningLatitude: 24°52'N
Longitude: 102°29'E
Bearing: 76°
Distance: 16738km"
12010,CNR 6,22:00,02:00,1234567,Amoy,100,142,"CHN
NanningLatitude: 22°47'N
Longitude: 108°11'E
Bearing: 80°
Distance: 17320km"
12065,R.TAIWAN INT.,09:00,10:00,1234567,Amoy,100,225,"TWN
PaochungLatitude: 23°43'N
Longitude: 120°18'E
Bearing: 74°
Distance: 18546km"
12080,KSDA-ADVENTIST WORLD R.GUAM,12:00,12:30,12345..,Amoy,100,300,"GUM
AgatLatitude: 13°20'N
Longitude: 144°39'E
Bearing: 234°
Distance: 18628km"
13670,CNR 6,02:00,05:00,1234567,Amoy,100,142,"CHN
NanningLatitude: 22°47'N
Longitude: 108°11'E
Bearing: 80°
Distance: 17320km"
15425,CHINA RADIO INTERNATIONAL,01:00,03:00,1234567,Amoy,500,190,"CHN
XianyangLatitude: 34°22'N
Longitude: 108°36'E
Bearing: 53°
Distance: 17090km"
15710,CNR 6,01:00,05:00,1234567,Amoy,100,163,"CHN
BeijingLatitude: 39°53'N
Longitude: 116°34'E
Bearing: 34°
Distance: 17317km"
17490,CHINA RADIO INTERNATIONAL,01:00,03:00,1234567,Amoy,500,193,"CHN
BeijingLatitude: 39°44'N
Longitude: 116°48'E
Bearing: 34°
Distance: 17341km"
3325,VOICE OF INDONESIA,16:00,17:00,1234567,Arabic,10,ND,"INS
PalangkarayaLatitude: 02°11'S
Longitude: 113°53'E
Bearing: 136°
Distance: 16624km"
4750,VOICE OF INDONESIA,16:00,17:00,1234567,Arabic,10,30,"INS
Jakarta-cimanggisLatitude: 06°07'S
Longitude: 106°51'E
Bearing: 132°
Distance: 15777km"
5900,BIBLE VOICE BCN RADIO DARDASHA7,19:30,19:45,1234567,Arabic,50,126,"BUL
Kostinbrod(sofia)Latitude: 42°48'N
Longitude: 023°11'E
Bearing: 43°
Distance: 9981km"
5900,BIBLE VOICE BCN RADIO DARDASHA7,19:45,20:00,1234567,Arabic,50,126,"BUL
Kostinbrod(sofia)Latitude: 42°48'N
Longitude: 023°11'E
Bearing: 43°
Distance: 9981km"
5960,R.KUWAIT,02:55,09:00,1234567,Arabic,250,ND,"KWT
SulaibiyahLatitude: 29°08'N
Longitude: 047°46'E
Bearing: 63°
Distance: 11444km"
5985,VOICE OF TURKEY,15:00,15:56,1234567,Arabic,250,150,"TUR
EmirlerLatitude: 39°24'N
Longitude: 032°51'E
Bearing: 49°
Distance: 10540km"
6060,VO ISLAMIC REP.IRAN,17:30,02:30,1234567,Arabic,500,289,"IRN
ZahedanLatitude: 29°28'N
Longitude: 060°51'E
Bearing: 66°
Distance: 12684km"
6070,VO ISLAMIC REP.IRAN,03:20,04:19,1234567,Arabic,500,285,"IRN
SirjanLatitude: 29°35'N
Longitude: 055°47'E
Bearing: 64°
Distance: 12207km"
6090,KBS WORLD RADIO,20:00,21:00,1234567,Arabic,250,172,"G
WooffertonLatitude: 52°16'N
Longitude: 002°49'W
Bearing: 24°
Distance: 9133km"
6100,CHINA RADIO INTERNATIONAL,20:00,22:00,1234567,Arabic,500,292,"CHN
XianyangLatitude: 34°22'N
Longitude: 108°36'E
Bearing: 53°
Distance: 17090km"
6130,ADVENTIST WORLD R.,19:00,20:00,1234567,Arabic,250,210,"D
NauenLatitude: 52°38'N
Longitude: 012°54'E
Bearing: 31°
Distance: 9934km"
7205,Radio Omdurman Sudan,02:00,16:30,1234567,Arabic,100,210,"SDN
Al AitahabLatitude: 15°35'N
Longitude: 032°26'E
Bearing: 71°
Distance: 9444km"
7205,Radio Omdurman Sudan,19:00,22:00,1234567,Arabic,100,210,"SDN
Al AitahabLatitude: 15°35'N
Longitude: 032°26'E
Bearing: 71°
Distance: 9444km"
7220,VO ISLAMIC REP.IRAN,01:30,03:30,1234567,Arabic,500,210,"IRN
SirjanLatitude: 29°35'N
Longitude: 055°47'E
Bearing: 64°
Distance: 12207km"
7245,VOICE OF TAJIK,12:00,13:00,1234567,Arabic,100,ND,"TJK
Dushanbe-orzuLatitude: 37°32'N
Longitude: 068°47'E
Bearing: 57°
Distance: 13528km"
7250,R.BANGLADESH BETAR,16:00,16:30,1234567,Arabic,250,290,"BGD
Dhaka KhabirpurLatitude: 24°00'N
Longitude: 090°15'E
Bearing: 77°
Distance: 15498km"
7300,CHINA RADIO INTERNATIONAL,16:00,18:00,1234567,Arabic,500,269,"TKS
Kashi-saibaghLatitude: 39°21'N
Longitude: 075°42'E
Bearing: 55°
Distance: 14132km"
7300,HCJB RADIO AKHBAR MUFRIHA,21:00,21:15,234567,Arabic,250,170,"G
WooffertonLatitude: 52°16'N
Longitude: 002°49'W
Bearing: 24°
Distance: 9133km"
7300,HCJB RADIO AKHBAR MUFRIHA,21:00,21:45,1......,Arabic,250,170,"G
WooffertonLatitude: 52°16'N
Longitude: 002°49'W
Bearing: 24°
Distance: 9133km"
7310,VO ISLAMIC REP.IRAN,14:30,17:30,1234567,Arabic,500,289,"IRN
ZahedanLatitude: 29°28'N
Longitude: 060°51'E
Bearing: 66°
Distance: 12684km"
7315,Follow The Bible Ministr,20:00,20:28,1......,Arabic,125,130,"G
WooffertonLatitude: 52°16'N
Longitude: 002°49'W
Bearing: 24°
Distance: 9133km"
7380,VO ISLAMIC REP.IRAN,02:30,05:30,1234567,Arabic,500,289,"IRN
ZahedanLatitude: 29°28'N
Longitude: 060°51'E
Bearing: 66°
Distance: 12684km"
7380,Follow The Bible Ministr,20:00,20:28,1......,Arabic,125,130,"G
WooffertonLatitude: 52°16'N
Longitude: 002°49'W
Bearing: 24°
Distance: 9133km"
7410,R.SAUDI,03:00,06:00,1234567,Arabic,100,ND,"ARS
RiyadhLatitude: 24°49'N
Longitude: 046°52'E
Bearing: 67°
Distance: 11214km"
7425,R.SAUDI,17:55,23:57,1234567,Arabic,100,ND,"ARS
RiyadhLatitude: 24°49'N
Longitude: 046°52'E
Bearing: 67°
Distance: 11214km"
9400,BIBLE VOICE BCN RADIO DARDASHA7,19:45,20:00,1234567,Arabic,50,195,"BUL
Kostinbrod(sofia)Latitude: 42°48'N
Longitude: 023°11'E
Bearing: 43°
Distance: 9981km"
9440,BIBLE VOICE BCN RADIO DARDASHA7,06:00,06:15,1234567,Arabic,125,180,"D
NauenLatitude: 52°38'N
Longitude: 012°54'E
Bearing: 31°
Distance: 9934km"
9450,BIBLE VOICE BCN,05:00,05:15,.....6.,Arabic,250,120,"D
NauenLatitude: 52°38'N
Longitude: 012°54'E
Bearing: 31°
Distance: 9934km"
9490,BIBLE VOICE BCN,17:10,17:30,.2.4...,Arabic,100,141,"BUL
Kostinbrod(sofia)Latitude: 42°48'N
Longitude: 023°11'E
Bearing: 43°
Distance: 9981km"
9490,BIBLE VOICE BCN Radio Da,17:30,17:45,1234567,Arabic,100,141,"BUL
Kostinbrod(sofia)Latitude: 42°48'N
Longitude: 023°11'E
Bearing: 43°
Distance: 9981km"
9500,Ifrikya FM,04:00,07:00,1234567,Arabic,300,131,"ALG
BecharLatitude: 31°34'N
Longitude: 002°21'W
Bearing: 39°
Distance: 7442km"
9555,R.SAUDI,17:55,23:00,1234567,Arabic,500,295,"ARS
RiyadhLatitude: 24°49'N
Longitude: 046°52'E
Bearing: 67°
Distance: 11214km"
9585,FOLLOW THE BIBLE MINISTRIES,18:30,18:58,1......,Arabic,300,170,"G
WooffertonLatitude: 52°16'N
Longitude: 002°49'W
Bearing: 24°
Distance: 9133km"
9620,ALL INDIA RADIO,17:30,19:30,1234567,Arabic,500,300,"IND
BengaluruLatitude: 13°13'N
Longitude: 077°13'E
Bearing: 88°
Distance: 13922km"
9645,VO ISLAMIC REP.IRAN,03:20,04:19,1234567,Arabic,500,216,"IRN
SirjanLatitude: 29°35'N
Longitude: 055°47'E
Bearing: 64°
Distance: 12207km"
9650,R.SAUDI,09:00,15:00,1234567,Arabic,100,ND,"ARS
RiyadhLatitude: 24°49'N
Longitude: 046°52'E
Bearing: 67°
Distance: 11214km"
9650,R.SAUDI,15:00,17:00,1234567,Arabic,100,ND,"ARS
RiyadhLatitude: 24°49'N
Longitude: 046°52'E
Bearing: 67°
Distance: 11214km"
9650,R.SAUDI,17:00,21:00,1234567,Arabic,100,ND,"ARS
RiyadhLatitude: 24°49'N
Longitude: 046°52'E
Bearing: 67°
Distance: 11214km"
9725,VO ISLAMIC REP.IRAN,03:30,06:00,1234567,Arabic,500,256,"IRN
SirjanLatitude: 29°35'N
Longitude: 055°47'E
Bearing: 64°
Distance: 12207km"
9750,R.KUWAIT,11:00,16:00,1234567,Arabic,250,286,"KWT
SulaibiyahLatitude: 29°08'N
Longitude: 047°46'E
Bearing: 63°
Distance: 11444km"
9790,R.SAUDI,15:00,17:00,1234567,Arabic,100,ND,"ARS
RiyadhLatitude: 24°49'N
Longitude: 046°52'E
Bearing: 67°
Distance: 11214km"
9790,R.SAUDI,17:00,17:55,1234567,Arabic,100,ND,"ARS
RiyadhLatitude: 24°49'N
Longitude: 046°52'E
Bearing: 67°
Distance: 11214km"
9890,Voice of Korea,15:00,15:57,1234567,Arabic,200,296,"KRE
KujangLatitude: 40°04'N
Longitude: 126°06'E
Bearing: 18°
Distance: 17744km"
9890,Voice of Korea,17:00,17:57,1234567,Arabic,200,296,"KRE
KujangLatitude: 40°04'N
Longitude: 126°06'E
Bearing: 18°
Distance: 17744km"
9900,R.CAIRO,23:30,00:45,1234567,Arabic,125,252,"EGY
AbisLatitude: 31°07'N
Longitude: 030°04'E
Bearing: 56°
Distance: 9933km"
11600,BIBLE VOICE BCN RADIO DARDASHA7,15:45,16:00,1234567,Arabic,100,306,"BUL
Kostinbrod(sofia)Latitude: 42°48'N
Longitude: 023°11'E
Bearing: 43°
Distance: 9981km"
11610,WORLD CHRISTIAN BROADC. R.FEDA,22:00,22:58,1234567,Arabic,100,325,"MDG
MahajangaLatitude: 15°43'S
Longitude: 046°26'E
Bearing: 105°
Distance: 9611km"
11630,R.KUWAIT,13:00,16:00,1234567,Arabic,250,230,"KWT
SulaibiyahLatitude: 29°08'N
Longitude: 047°46'E
Bearing: 63°
Distance: 11444km"
11640,CHINA RADIO INTERNATIONAL,18:30,19:30,1234567,Arabic,100,85,"MLI
Bamako IILatitude: 12°41'N
Longitude: 008°01'W
Bearing: 51°
Distance: 5560km"
11645,Voice of Korea,15:00,15:57,1234567,Arabic,200,296,"KRE
KujangLatitude: 40°04'N
Longitude: 126°06'E
Bearing: 18°
Distance: 17744km"
11645,Voice of Korea,17:00,17:57,1234567,Arabic,200,296,"KRE
KujangLatitude: 40°04'N
Longitude: 126°06'E
Bearing: 18°
Distance: 17744km"
11660,R.ROMANIA INT.,07:30,07:57,1234567,Arabic,300,247,"ROU
Galbeni-bacauLatitude: 46°44'N
Longitude: 026°50'E
Bearing: 40°
Distance: 10441km"
11745,Al-Azm Radio,00:00,00:00,1234567,Arabic,250,300,"ARS
JeddahLatitude: 21°23'N
Longitude: 039°25'E
Bearing: 68°
Distance: 10369km"
11770,VOICE OF NIGERIA,15:30,16:00,1234567,Arabic,250,248,"NIG
Abuja LugbeLatitude: 08°57'N
Longitude: 007°20'E
Bearing: 65°
Distance: 6681km"
11770,VOICE OF NIGERIA,16:00,16:15,1234567,Arabic,250,248,"NIG
Abuja LugbeLatitude: 08°57'N
Longitude: 007°20'E
Bearing: 65°
Distance: 6681km"
11820,VO ISLAMIC REP.IRAN,08:30,10:30,1234567,Arabic,500,210,"IRN
SirjanLatitude: 29°35'N
Longitude: 055°47'E
Bearing: 64°
Distance: 12207km"
11820,R.SAUDI,17:55,22:57,1234567,Arabic,500,320,"ARS
RiyadhLatitude: 24°49'N
Longitude: 046°52'E
Bearing: 67°
Distance: 11214km"
11830,AGRICULTURAL VOICES SYRIA,03:00,03:30,.23456.,Arabic,250,310,"UAE
Al-DhabbiyaLatitude: 24°10'N
Longitude: 054°14'E
Bearing: 70°
Distance: 11908km"
11860,Republic of Yemen Radio,00:00,00:00,1234567,Arabic,50,ND,"ARS
JeddahLatitude: 21°23'N
Longitude: 039°25'E
Bearing: 68°
Distance: 10369km"
11880,ADVENTIST WORLD R.,06:00,07:00,1234567,Arabic,300,175,"AUT
MoosbrunnLatitude: 48°00'N
Longitude: 016°27'E
Bearing: 36°
Distance: 9838km"
11890,VO ISLAMIC REP.IRAN,10:30,14:30,1234567,Arabic,500,289,"IRN
ZahedanLatitude: 29°28'N
Longitude: 060°51'E
Bearing: 66°
Distance: 12684km"
11915,R.SAUDI,17:55,22:57,1234567,Arabic,500,295,"ARS
RiyadhLatitude: 24°49'N
Longitude: 046°52'E
Bearing: 67°
Distance: 11214km"
11930,R.SAUDI,17:55,22:57,1234567,Arabic,500,270,"ARS
RiyadhLatitude: 24°49'N
Longitude: 046°52'E
Bearing: 67°
Distance: 11214km"
11935,VATICAN RADIO,16:30,17:00,1234567,Arabic,250,146,"CVA
Santa Maria Di GaleriaLatitude: 42°02'N
Longitude: 012°19'E
Bearing: 39°
Distance: 9188km"
11945,R.ROMANIA INT.,13:00,13:27,1234567,Arabic,300,140,"ROU
Galbeni-bacauLatitude: 46°44'N
Longitude: 026°50'E
Bearing: 40°
Distance: 10441km"
11955,ADVENTIST WORLD R.,18:00,18:58,1234567,Arabic,300,175,"AUT
MoosbrunnLatitude: 48°00'N
Longitude: 016°27'E
Bearing: 36°
Distance: 9838km"
11955,VOICE OF TURKEY,10:00,10:56,1234567,Arabic,500,180,"TUR
EmirlerLatitude: 39°24'N
Longitude: 032°51'E
Bearing: 49°
Distance: 10540km"
11960,VO ISLAMIC REP.IRAN,02:30,05:30,1234567,Arabic,500,289,"IRN
ZahedanLatitude: 29°28'N
Longitude: 060°51'E
Bearing: 66°
Distance: 12684km"
11975,R.ROMANIA INT.,16:30,16:57,1234567,Arabic,300,245,"ROU
Galbeni-bacauLatitude: 46°44'N
Longitude: 026°50'E
Bearing: 40°
Distance: 10441km"
11980,ADVENTIST WORLD R.,07:00,08:00,1234567,Arabic,250,210,"D
NauenLatitude: 52°38'N
Longitude: 012°54'E
Bearing: 31°
Distance: 9934km"
11985,KSDA-Adventist World R.G,19:00,20:00,1234567,Arabic,1,ND,Agat
12030,R.EXTERIOR DE ESPANA,17:30,18:00,.23456.,Arabic,200,110,"E
NoblejasLatitude: 39°57'N
Longitude: 003°25'W
Bearing: 32°
Distance: 8062km"
12030,R.EXTERIOR DE ESPANA,22:30,23:00,.23456.,Arabic,200,110,"E
NoblejasLatitude: 39°57'N
Longitude: 003°25'W
Bearing: 32°
Distance: 8062km"
13580,TWR Africa,15:30,15:45,.23456.,Arabic,100,5,"SWZ
ManziniLatitude: 26°20'S
Longitude: 031°35'E
Bearing: 111°
Distance: 7786km"
13590,Ifrikya FM,23:00,04:00,1234567,Arabic,300,131,"ALG
BecharLatitude: 31°34'N
Longitude: 002°21'W
Bearing: 39°
Distance: 7442km"
13650,R.KUWAIT (Digital),17:00,20:00,1234567,Arabic,250,350,"KWT
SulaibiyahLatitude: 29°08'N
Longitude: 047°46'E
Bearing: 63°
Distance: 11444km"
13670,WORLD CHRISTIAN BROADC. R.FEDA,19:00,20:00,1234567,Arabic,100,340,"MDG
MahajangaLatitude: 15°43'S
Longitude: 046°26'E
Bearing: 105°
Distance: 9611km"
13685,CHINA RADIO INTERNATIONAL,18:30,19:30,1234567,Arabic,100,20,"MLI
Bamako IILatitude: 12°41'N
Longitude: 008°01'W
Bearing: 51°
Distance: 5560km"
13710,R.SAUDI,14:57,17:57,1234567,Arabic,500,295,"ARS
RiyadhLatitude: 24°49'N
Longitude: 046°52'E
Bearing: 67°
Distance: 11214km"
13710,WORLD CHRISTIAN BROADC. R.FEDA,20:00,21:00,1234567,Arabic,100,355,"MDG
MahajangaLatitude: 15°43'S
Longitude: 046°26'E
Bearing: 105°
Distance: 9611km"
13780,R.SAUDI,06:00,12:00,1234567,Arabic,100,ND,"ARS
RiyadhLatitude: 24°49'N
Longitude: 046°52'E
Bearing: 67°
Distance: 11214km"
13785,R.SAUDI,12:00,13:57,1234567,Arabic,100,ND,"ARS
RiyadhLatitude: 24°49'N
Longitude: 046°52'E
Bearing: 67°
Distance: 11214km"
13790,Ifrikya FM,21:00,00:00,1234567,Arabic,300,210,"ALG
OurglaLatitude: 31°55'N
Longitude: 005°04'E
Bearing: 43°
Distance: 7983km"
13800,TWR Africa,18:02,19:02,.23456.,Arabic,100,13,"SWZ
ManziniLatitude: 26°20'S
Longitude: 031°35'E
Bearing: 111°
Distance: 7786km"
13820,VO ISLAMIC REP.IRAN,05:30,07:30,1234567,Arabic,500,289,"IRN
ZahedanLatitude: 29°28'N
Longitude: 060°51'E
Bearing: 66°
Distance: 12684km"
15110,R.KUWAIT (Digital),09:45,13:25,1234567,Arabic,250,310,"KWT
SulaibiyahLatitude: 29°08'N
Longitude: 047°46'E
Bearing: 63°
Distance: 11444km"
15110,Ifrikya FM,20:00,23:00,1234567,Arabic,300,210,"ALG
OurglaLatitude: 31°55'N
Longitude: 005°04'E
Bearing: 43°
Distance: 7983km"
15120,R.ROMANIA INT.,07:30,07:57,1234567,Arabic,300,245,"ROU
Galbeni-bacauLatitude: 44°44'N
Longitude: 026°06'E
Bearing: 42°
Distance: 10289km"
